,start_end,actor_one,actor_two,area,articles,keywords,length,tone,a1_0,a1_1,a1_2,a1_3,a1_4,a2_0,a2_1,a2_2,a2_3,a2_4,k_0,k_1,k_2,k_3,k_4,start,end
49,20180617_20180619,"['IMMIGRANT', 'MIGRANT', 'CHINA', 'LAWMAKER', 'WASHINGTON']","['IMMIGRANT', 'AID GROUP', 'DEMONSTRATOR', 'COMPANY', 'MUSLIM']",348.0,1597,"['border', 'families', 'immigration', 'melania', 'policy']",3,-4.0,IMMIGRANT,MIGRANT,CHINA,LAWMAKER,WASHINGTON,IMMIGRANT,AID GROUP,DEMONSTRATOR,COMPANY,MUSLIM,border,families,immigration,melania,policy,20180617,20180619
50,20180704_20180707,"['COMPANY', 'BRITISH', 'PRESIDENT', 'VIRGINIA', 'IMMIGRANT']","['COMPANY', 'RESIDENTS', 'PRESIDENT', 'VIRGINIA', 'MEDIA']",428.0,619,"['declaration', 'facebook', 'independence', 'speech', 'attack']",4,-7.0,COMPANY,BRITISH,PRESIDENT,VIRGINIA,IMMIGRANT,COMPANY,RESIDENTS,PRESIDENT,VIRGINIA,MEDIA,declaration,facebook,independence,speech,attack,20180704,20180707
51,20180716_20180721,"['COMPANY', 'REUTERS', 'INDIANAPOLIS', 'RESIDENTS', 'PRESIDENT']","['PHOENIX', 'INDIANAPOLIS', 'MEMPHIS', 'WASHINGTON', 'GOVERNMENT']",564.0,449,"['mosque', 'man', 'attack', 'texas', 'perez']",6,-6.0,COMPANY,REUTERS,INDIANAPOLIS,RESIDENTS,PRESIDENT,PHOENIX,INDIANAPOLIS,MEMPHIS,WASHINGTON,GOVERNMENT,mosque,man,attack,texas,perez,20180716,20180721
52,20180812_20180817,"['JEWISH', 'COMPANY', 'INDIANAPOLIS', 'WASHINGTON', 'PRESIDENT']","['JEWISH', 'MEXICAN', 'TROOPER', 'WASHINGTON', 'PRESIDENT']",743.0,812,"['white', 'rally', 'black', 'charlottesville', 'washington']",6,-6.0,JEWISH,COMPANY,INDIANAPOLIS,WASHINGTON,PRESIDENT,JEWISH,MEXICAN,TROOPER,WASHINGTON,PRESIDENT,white,rally,black,charlottesville,washington,20180812,20180817
53,20180904_20180923,"['JEWISH', 'COMPANY', 'OKLAHOMA', 'ADVOCATE', 'CABINET']","['JEWISH', 'INDIANAPOLIS', 'LAWMAKER', 'RESIDENTS', 'PRESIDENT']",661.0,1852,"['black', 'man', 'murder', 'bernstein', 'star']",19,-6.0,JEWISH,COMPANY,OKLAHOMA,ADVOCATE,CABINET,JEWISH,INDIANAPOLIS,LAWMAKER,RESIDENTS,PRESIDENT,black,man,murder,bernstein,star,20180904,20180923
54,20181016_20181018,"['JEWISH', 'RESIDENTS', 'IMAM', 'BRAZIL', 'TEXAS']","['RELIGION', 'GOVERNMENT', 'TEXAS', 'SECRETARY OF STATE', 'MEDIA']",627.0,1442,"['man', 'white', 'charged', 'york', 'political']",3,-6.0,JEWISH,RESIDENTS,IMAM,BRAZIL,TEXAS,RELIGION,GOVERNMENT,TEXAS,SECRETARY OF STATE,MEDIA,man,white,charged,york,political,20181016,20181018
55,20181024_20181105,"['JEWISH', 'COMPANY', 'JUDICIARY', 'WASHINGTON', 'PRESIDENT']","['JEWISH', 'COMPANY', 'RELIGION', 'WASHINGTON', 'PRESIDENT']",1284.0,8130,"['synagogue', 'jewish', 'shooting', 'pittsburgh', 'man']",13,-6.0,JEWISH,COMPANY,JUDICIARY,WASHINGTON,PRESIDENT,JEWISH,COMPANY,RELIGION,WASHINGTON,PRESIDENT,synagogue,jewish,shooting,pittsburgh,man,20181024,20181105
56,20181111_20181118,"['JEWISH', 'REUTERS', 'WASHINGTON', 'PRESIDENT', 'ANTI DEFAMATION LEAGUE']","['JEWISH', 'HINDU', 'COMPANY', 'PRESIDENT', 'LAW ENFORCEMENT AGENCIES']",593.0,1660,"['white', 'man', 'fbi', 'law', 'reported']",8,-7.0,JEWISH,REUTERS,WASHINGTON,PRESIDENT,ANTI DEFAMATION LEAGUE,JEWISH,HINDU,COMPANY,PRESIDENT,LAW ENFORCEMENT AGENCIES,white,man,fbi,law,reported,20181111,20181118
57,20181125_20181202,"['JEWISH', 'LAWMAKER', 'WASHINGTON', 'PRESIDENT', 'ANTI DEFAMATION LEAGUE']","['JEWISH', 'COMPANY', 'BLACK PANTHERS', 'JUDICIARY', 'RESIDENTS']",662.0,1971,"['state', 'white', 'swastikas', 'itthe', 'late']",8,-7.0,JEWISH,LAWMAKER,WASHINGTON,PRESIDENT,ANTI DEFAMATION LEAGUE,JEWISH,COMPANY,BLACK PANTHERS,JUDICIARY,RESIDENTS,state,white,swastikas,itthe,late,20181125,20181202
58,20181209_20181223,"['JEWISH', 'AUSTRALIA', 'PERPETRATOR', 'CINCINNATI', 'WASHINGTON']","['JEWISH', 'MALE', 'OKLAHOMA', 'PERPETRATOR', 'LAWMAKER']",804.0,1525,"['white', 'state', 'man', 'arrested', 'attack']",14,-6.0,JEWISH,AUSTRALIA,PERPETRATOR,CINCINNATI,WASHINGTON,JEWISH,MALE,OKLAHOMA,PERPETRATOR,LAWMAKER,white,state,man,arrested,attack,20181209,20181223
